大学,学部名,学科名,日程,入試方式,10桁コード,rank
京都精華大学,芸術,造形,共,１鉛筆,3596-83-0104,5
京都精華大学,芸術,造形,共,１期,3596-83-0171,5
京都精華大学,デザイン,プロダクトデ,共,１学力,3596-84-0201,5
京都精華大学,デザイン,プロダクトデ,共,１鉛筆,3596-84-0204,5
京都精華大学,デザイン,プロダクトデ,共,１期,3596-84-0271,5
京都精華大学,デザイン,建築,共,１鉛筆,3596-84-0301,5
京都精華大学,デザイン,建築,共,１学力,3596-84-0306,5
京都精華大学,デザイン,建築,共,１期,3596-84-0371,5
京都精華大学,デザイン,ビジ／ グラフ,共,１学力,3596-84-0401,5
京都精華大学,デザイン,ビジ／ グラフ,共,１鉛筆,3596-84-0402,5
京都精華大学,デザイン,ビジ／ グラフ,共,１期,3596-84-0477,5
京都精華大学,デザイン,ビジ／ デジタ,共,１学力,3596-84-0601,5
京都精華大学,デザイン,ビジ／ デジタ,共,１鉛筆,3596-84-0605,5
京都精華大学,デザイン,ビジ／ デジタ,共,１期,3596-84-0670,5
京都精華大学,デザイン,イラスト,共,１鉛筆,3596-84-0901,5
京都精華大学,デザイン,イラスト,共,１学力,3596-84-0906,5
京都精華大学,デザイン,イラスト,共,１期,3596-84-0975,5
京都精華大学,マンガ,アニメーショ,共,１学力,3596-85-0301,5
京都精華大学,マンガ,アニメーショ,共,１鉛筆,3596-85-0303,5
京都精華大学,マンガ,アニメーショ,共,１期,3596-85-0372,5
京都精華大学,マンガ,マン／ ストー,共,１学力,3596-85-0504,5
京都精華大学,マンガ,マン／ ストー,共,１鉛筆,3596-85-0505,5
京都精華大学,マンガ,マン／ ストー,共,１期,3596-85-0572,5
京都精華大学,マンガ,マン／ 新世代,共,１学力,3596-85-0903,5
京都精華大学,マンガ,マン／ 新世代,共,１鉛筆,3596-85-0904,5
京都精華大学,マンガ,マン／ 新世代,共,１期,3596-85-0971,5
京都精華大学,マンガ,キャラクター,共,１学力,3596-85-1001,5
京都精華大学,マンガ,キャラクター,共,１鉛筆,3596-85-1003,5
京都精華大学,マンガ,キャラクター,共,１期,3596-85-1071,5
京都精華大学,メディア,メディア表現,共,１学力,3596-87-0104,5
京都精華大学,メディア,メディア表現,共,１期,3596-87-0171,5
京都先端科学大学,人文,歴史文化,,Ａ,3593-02-0101,5
京都先端科学大学,人文,歴史文化,,Ｂ,3593-02-0102,5
京都先端科学大学,人文,歴史文化,共,Ａ,3593-02-0171,5
京都先端科学大学,人文,歴史文化,共,Ｂ,3593-02-0172,5
京都先端科学大学,人文,心理,共,Ａ,3593-02-0201,5
京都先端科学大学,人文,心理,共,Ｂ,3593-02-0202,5
京都先端科学大学,人文,心理,共,Ａ,3593-02-0271,5
京都先端科学大学,人文,心理,共,Ｂ,3593-02-0272,5
京都先端科学大学,経済経営,経済,共,Ａ,3593-21-0101,5
京都先端科学大学,経済経営,経済,共,Ｂ,3593-21-0102,5
京都先端科学大学,経済経営,経済,共,Ａ,3593-21-0171,5
京都先端科学大学,経済経営,経済,共,Ｂ,3593-21-0172,5
京都先端科学大学,経済経営,経営,共,Ａ,3593-21-0201,5
京都先端科学大学,経済経営,経営,共,Ｂ,3593-21-0202,5
京都先端科学大学,経済経営,経営,共,Ａ,3593-21-0271,5
京都先端科学大学,経済経営,経営,共,Ｂ,3593-21-0272,5
京都先端科学大学,工,機械電気シス,共,Ａ,3593-46-0102,5
京都先端科学大学,工,機械電気シス,共,Ｂ,3593-46-0103,5
京都先端科学大学,工,機械電気シス,共,Ａ,3593-46-0172,5
京都先端科学大学,工,機械電気シス,共,Ｂ,3593-46-0173,5
京都先端科学大学,健康医療,看護,共,Ａ,3593-64-0101,5
京都先端科学大学,健康医療,看護,共,Ｂ,3593-64-0102,5
京都先端科学大学,健康医療,看護,共,Ａ,3593-64-0171,5
京都先端科学大学,健康医療,看護,共,Ｂ,3593-64-0172,5
京都先端科学大学,健康医療,言語聴覚,共,Ａ,3593-64-0201,5
京都先端科学大学,健康医療,言語聴覚,共,Ｂ,3593-64-0202,5
京都先端科学大学,健康医療,言語聴覚,共,Ａ,3593-64-0271,5
京都先端科学大学,健康医療,言語聴覚,共,Ｂ,3593-64-0272,5
京都先端科学大学,健康医療,健康スポーツ,共,Ａ,3593-64-0301,5
京都先端科学大学,健康医療,健康スポーツ,共,Ｂ,3593-64-0302,5
京都先端科学大学,健康医療,健康スポーツ,共,Ａ,3593-64-0371,5
京都先端科学大学,健康医療,健康スポーツ,共,Ｂ,3593-64-0372,5
京都先端科学大学,バイオ環,応用生命科学,共,Ａ,3593-74-0401,5
京都先端科学大学,バイオ環,応用生命科学,共,Ｂ,3593-74-0402,5
京都先端科学大学,バイオ環,応用生命科学,共,Ａ,3593-74-0471,5
京都先端科学大学,バイオ環,応用生命科学,共,Ｂ,3593-74-0472,5
京都先端科学大学,バイオ環,生物環境科学,共,Ａ,3593-74-0501,5
京都先端科学大学,バイオ環,生物環境科学,共,Ｂ,3593-74-0502,5
京都先端科学大学,バイオ環,生物環境科学,共,Ａ,3593-74-0571,5
京都先端科学大学,バイオ環,生物環境科学,共,Ｂ,3593-74-0572,5
京都橘大学,文,日本語日本文,,ＡＢ３,3598-01-0201,5
京都橘大学,文,日本語日本文,,ＡＢ２,3598-01-0202,5
京都橘大学,文,日本語日本文,,Ｃ２,3598-01-0203,5
京都橘大学,文,日本語日本文,共,前期３,3598-01-0271,5
京都橘大学,文,日本語日本文,共,ＡＢ併,3598-01-0272,5
京都橘大学,文,日本語日本文,共,Ｃ併,3598-01-0273,5
京都橘大学,文,歴史,共,ＡＢ３,3598-01-0301,5
京都橘大学,文,歴史,共,ＡＢ２,3598-01-0302,5
京都橘大学,文,歴史,共,Ｃ２,3598-01-0303,5
京都橘大学,文,歴史,共,ＡＢ併,3598-01-0371,5
京都橘大学,文,歴史,共,前期３,3598-01-0372,5
京都橘大学,文,歴史,共,Ｃ併,3598-01-0373,5
京都橘大学,文,歴史遺産,共,ＡＢ３,3598-01-0401,5
京都橘大学,文,歴史遺産,共,ＡＢ２,3598-01-0402,5
京都橘大学,文,歴史遺産,共,Ｃ２,3598-01-0403,5
京都橘大学,文,歴史遺産,共,前期３,3598-01-0471,5
京都橘大学,文,歴史遺産,共,ＡＢ併,3598-01-0472,5
京都橘大学,文,歴史遺産,共,Ｃ併,3598-01-0473,5
京都橘大学,文,日本／ 書道,共,ＡＢ２,3598-01-0901,5
京都橘大学,文,日本／ 書道,共,ＡＢ３,3598-01-0902,5
京都橘大学,文,日本／ 書道,共,Ｃ２,3598-01-0903,5
京都橘大学,総合心理,総合心理,共,ＡＢ３,3598-04-0102,5
京都橘大学,総合心理,総合心理,共,ＡＢ２,3598-04-0103,5
京都橘大学,総合心理,総合心理,共,Ｃ２,3598-04-0104,5
京都橘大学,総合心理,総合心理,共,前期３,3598-04-0171,5
京都橘大学,総合心理,総合心理,共,ＡＢ併,3598-04-0172,5
京都橘大学,総合心理,総合心理,共,Ｃ併,3598-04-0173,5
京都橘大学,経済,経済／ 経済学,共,ＡＢ３,3598-18-0201,5
京都橘大学,経済,経済／ 経済学,共,ＡＢ２,3598-18-0202,5
京都橘大学,経済,経済／ 経済学,共,Ｃ２,3598-18-0203,5
京都橘大学,経済,経済／ 経済学,共,前期３,3598-18-0271,5
京都橘大学,経済,経済／ 経済学,共,ＡＢ併,3598-18-0272,5
京都橘大学,経済,経済／ 経済学,共,Ｃ併,3598-18-0273,5
京都橘大学,経済,経済／ 現代社,共,ＡＢ３,3598-18-0301,5
京都橘大学,経済,経済／ 現代社,共,ＡＢ２,3598-18-0302,5
京都橘大学,経済,経済／ 現代社,共,Ｃ２,3598-18-0303,5
京都橘大学,経済,経済／ 現代社,共,前期３,3598-18-0371,5
京都橘大学,経済,経済／ 現代社,共,ＡＢ併,3598-18-0372,5
京都橘大学,経済,経済／ 現代社,共,Ｃ併,3598-18-0373,5
京都橘大学,経営,経営／ 経営学,共,ＡＢ３,3598-19-0202,5
京都橘大学,経営,経営／ 経営学,共,ＡＢ２,3598-19-0203,5
京都橘大学,経営,経営／ 経営学,共,Ｃ２,3598-19-0204,5
京都橘大学,経営,経営／ 経営学,共,前期３,3598-19-0272,5
京都橘大学,経営,経営／ 経営学,共,ＡＢ併,3598-19-0273,5
京都橘大学,経営,経営／ 経営学,共,Ｃ併,3598-19-0274,5
京都橘大学,経営,経営／ スポー,共,ＡＢ３,3598-19-0302,5
京都橘大学,経営,経営／ スポー,共,ＡＢ２,3598-19-0303,5
京都橘大学,経営,経営／ スポー,共,Ｃ２,3598-19-0304,5
京都橘大学,経営,経営／ スポー,共,前期３,3598-19-0372,5
京都橘大学,経営,経営／ スポー,共,ＡＢ併,3598-19-0373,5
京都橘大学,経営,経営／ スポー,共,Ｃ併,3598-19-0374,5
京都橘大学,発達教育,児童教育,共,ＡＢ３,3598-31-0101,5
京都橘大学,発達教育,児童教育,共,ＡＢ２,3598-31-0102,5
京都橘大学,発達教育,児童教育,共,Ｃ２,3598-31-0103,5
京都橘大学,発達教育,児童教育,共,前期３,3598-31-0171,5
京都橘大学,発達教育,児童教育,共,ＡＢ併,3598-31-0172,5
京都橘大学,発達教育,児童教育,共,Ｃ併,3598-31-0173,5
京都橘大学,国際英語,国際／ グロー,共,ＡＢ３,3598-33-0201,5
京都橘大学,国際英語,国際／ グロー,共,ＡＢ２,3598-33-0202,5
京都橘大学,国際英語,国際／ グロー,共,Ｃ２,3598-33-0203,5
京都橘大学,国際英語,国際／ グロー,共,前期３,3598-33-0271,5
京都橘大学,国際英語,国際／ グロー,共,ＡＢ併,3598-33-0272,5
京都橘大学,国際英語,国際／ グロー,共,Ｃ併,3598-33-0273,5
京都橘大学,国際英語,国際／ 国際共,共,ＡＢ３,3598-33-0301,5
京都橘大学,国際英語,国際／ 国際共,共,ＡＢ２,3598-33-0302,5
京都橘大学,国際英語,国際／ 国際共,共,Ｃ２,3598-33-0303,5
京都橘大学,国際英語,国際／ 国際共,共,前期３,3598-33-0371,5
京都橘大学,国際英語,国際／ 国際共,共,ＡＢ併,3598-33-0372,5
京都橘大学,国際英語,国際／ 国際共,共,Ｃ併,3598-33-0373,5
京都橘大学,デジタル,デジタルメデ,共,ＡＢ３,3598-37-0101,5
京都橘大学,デジタル,デジタルメデ,共,ＡＢ２,3598-37-0102,5
京都橘大学,デジタル,デジタルメデ,共,Ｃ２,3598-37-0103,5
京都橘大学,デジタル,デジタルメデ,共,前期３,3598-37-0171,5
京都橘大学,デジタル,デジタルメデ,共,ＡＢ併,3598-37-0172,5
京都橘大学,デジタル,デジタルメデ,共,Ｃ併,3598-37-0173,5
京都橘大学,工,情報工,共,ＡＢ３,3598-46-0101,5
京都橘大学,工,情報工,共,ＡＢ２,3598-46-0102,5
京都橘大学,工,情報工,共,Ｃ２,3598-46-0103,5
京都橘大学,工,情報工,共,前期３,3598-46-0171,5
京都橘大学,工,情報工,共,ＡＢ併,3598-46-0172,5
京都橘大学,工,情報工,共,Ｃ併,3598-46-0173,5
京都橘大学,工,建築デザイン,共,ＡＢ３,3598-46-0201,5
京都橘大学,工,建築デザイン,共,ＡＢ２,3598-46-0202,5
京都橘大学,工,建築デザイン,共,Ｃ２,3598-46-0203,5
京都橘大学,工,建築デザイン,共,前期３,3598-46-0271,5
京都橘大学,工,建築デザイン,共,ＡＢ併,3598-46-0272,5
京都橘大学,工,建築デザイン,共,Ｃ併,3598-46-0273,5
京都橘大学,工,ロボティクス,共,ＡＢ３,3598-46-0301,5
京都橘大学,工,ロボティクス,共,ＡＢ２,3598-46-0302,5
京都橘大学,工,ロボティクス,共,Ｃ２,3598-46-0303,5
京都橘大学,工,ロボティクス,共,前期３,3598-46-0371,5
京都橘大学,工,ロボティクス,共,ＡＢ併,3598-46-0372,5
京都橘大学,工,ロボティクス,共,Ｃ併,3598-46-0373,5
京都橘大学,看護,看護,共,ＡＢ３,3598-64-0101,5
京都橘大学,看護,看護,共,ＡＢ２,3598-64-0102,5
京都橘大学,看護,看護,共,Ｃ２,3598-64-0103,5
京都橘大学,看護,看護,共,前期３,3598-64-0171,5
京都橘大学,看護,看護,共,ＡＢ併,3598-64-0172,5
京都橘大学,看護,看護,共,Ｃ併,3598-64-0173,5
京都橘大学,健康科学,理学療法,共,ＡＢ３,3598-65-0101,5
京都橘大学,健康科学,理学療法,共,ＡＢ２,3598-65-0102,5
京都橘大学,健康科学,理学療法,共,Ｃ２,3598-65-0103,5
京都橘大学,健康科学,理学療法,共,前期３,3598-65-0171,5
京都橘大学,健康科学,理学療法,共,ＡＢ併,3598-65-0172,5
京都橘大学,健康科学,理学療法,共,Ｃ併,3598-65-0173,5
京都橘大学,健康科学,救急救命,共,ＡＢ３,3598-65-0301,5
京都橘大学,健康科学,救急救命,共,ＡＢ２,3598-65-0302,5
京都橘大学,健康科学,救急救命,共,Ｃ２,3598-65-0303,5
京都橘大学,健康科学,救急救命,共,前期３,3598-65-0371,5
京都橘大学,健康科学,救急救命,共,ＡＢ併,3598-65-0372,5
京都橘大学,健康科学,救急救命,共,Ｃ併,3598-65-0373,5
京都橘大学,健康科学,作業療法,共,ＡＢ３,3598-65-0401,5
京都橘大学,健康科学,作業療法,共,ＡＢ２,3598-65-0402,5
京都橘大学,健康科学,作業療法,共,Ｃ２,3598-65-0403,5
京都橘大学,健康科学,作業療法,共,前期３,3598-65-0471,5
京都橘大学,健康科学,作業療法,共,ＡＢ併,3598-65-0472,5
京都橘大学,健康科学,作業療法,共,Ｃ併,3598-65-0473,5
京都橘大学,健康科学,臨床検査,共,ＡＢ３,3598-65-0501,5
京都橘大学,健康科学,臨床検査,共,ＡＢ２,3598-65-0502,5
京都橘大学,健康科学,臨床検査,共,Ｃ２,3598-65-0503,5
京都橘大学,健康科学,臨床検査,共,前期３,3598-65-0571,5
京都橘大学,健康科学,臨床検査,共,ＡＢ併,3598-65-0572,5
京都橘大学,健康科学,臨床検査,共,Ｃ併,3598-65-0573,5
京都橘大学,健康科学,臨床工,共,ＡＢ３,3598-65-0601,5
京都橘大学,健康科学,臨床工,共,ＡＢ２,3598-65-0602,5
京都橘大学,健康科学,臨床工,共,Ｃ２,3598-65-0603,5
京都橘大学,健康科学,臨床工,共,前期３,3598-65-0671,5
京都橘大学,健康科学,臨床工,共,ＡＢ併,3598-65-0672,5
京都橘大学,健康科学,臨床工,共,Ｃ併,3598-65-0673,5
京都美術工芸大学,建築,建築,,前期Ａ,3615-48-0101,5
京都美術工芸大学,建築,建築,,前期Ｂ,3615-48-0102,5
京都美術工芸大学,建築,建築,共,前期２,3615-48-0171,5
京都美術工芸大学,建築,建築,共,前期４,3615-48-0172,5
京都美術工芸大学,芸術,デザイン・工,共,前期Ａ,3615-83-0101,5
京都美術工芸大学,芸術,デザイン・工,共,前期Ｂ,3615-83-0102,5
京都美術工芸大学,芸術,デザイン・工,共,前期２,3615-83-0171,5
京都美術工芸大学,芸術,デザイン・工,共,前期４,3615-83-0172,5
京都府立大学,文,日本・中国文,前,,2170-01-0610,5
京都府立大学,文,日本・中国文,後,,2170-01-0620,5
京都府立大学,文,国際文化交流,前,,2170-01-0710,5
京都府立大学,文,国際文化交流,後,,2170-01-0720,5
京都府立大学,文,歴史,前,,2170-01-0810,5
京都府立大学,文,歴史,後,,2170-01-0820,5
京都府立大学,社会科学,公共政策,前,,2170-28-0110,5
京都府立大学,社会科学,公共政策,後,,2170-28-0120,5
京都府立大学,社会科学,福祉社会,前,,2170-28-0210,5
京都府立大学,社会科学,福祉社会,後,,2170-28-0220,5
京都府立大学,環境科学,森林科学,前,,2170-39-0110,5
京都府立大学,環境科学,森林科学,後,,2170-39-0120,5
京都府立大学,環境科学,環境デザイン,前,,2170-39-0210,5
京都府立大学,生命理工,生命化,前,,2170-47-0110,5
京都府立大学,生命理工,生命化,後,,2170-47-0120,5
京都府立大学,生命理工,理工情報,前,,2170-47-0210,5
京都府立大学,農学食科,農学生命科学,前,,2170-75-0110,5
京都府立大学,農学食科,農学生命科学,後,,2170-75-0120,5
京都府立大学,農学食科,栄養科学,前,,2170-75-0210,5
京都府立大学,農学食科,和食文化科学,前,Ａ,2170-75-0311,5
京都府立大学,農学食科,和食文化科学,前,Ｂ,2170-75-0312,5
京都府立医科大学,医,医,前,,2175-55-0110,5
京都府立医科大学,医,看護,前,,2175-55-0210,5
京都文教大学,総合社会,総合／ 経済経,,Ａ学科,3610-27-0404,5
京都文教大学,総合社会,総合／ メディ,,Ａ学科,3610-27-0504,5
京都文教大学,総合社会,総合／ 公務員,,Ａ学科,3610-27-0604,5
京都文教大学,総合社会,総合／ 観光地,,Ａ学科,3610-27-0704,5
京都文教大学,総合社会,実践社会,,Ａ学科,3610-27-0905,5
京都文教大学,総合社会,総合／ スポー,,Ａ学科,3610-27-1005,5
京都文教大学,総合社会,総合／ 食マネ,,Ａ学科,3610-27-1105,5
京都文教大学,こども教,こども教育,,Ａ学科,3610-31-0405,5
京都文教大学,臨床心理,臨床／ 深層心,,Ａ学科,3610-64-0906,5
京都文教大学,臨床心理,臨床／ 子ども,,Ａ学科,3610-64-1006,5
京都文教大学,臨床心理,臨床／ 医療福,,Ａ学科,3610-64-1106,5
京都文教大学,臨床心理,臨床／ ビジネ,,Ａ学科,3610-64-1206,5
京都薬科大学,薬,薬,,前期,3599-61-0301,5
京都薬科大学,薬,薬,共,前期,3599-61-0371,5
共立女子大学,文芸,文芸,,前個Ａ,3238-03-0301,5
共立女子大学,文芸,文芸,,統一,3238-03-0302,5
共立女子大学,文芸,文芸,,前英Ａ,3238-03-0303,5
共立女子大学,文芸,文芸,,前個Ｂ,3238-03-0304,5
共立女子大学,文芸,文芸,,前英Ｂ,3238-03-0305,5
共立女子大学,文芸,文芸,共,２月３,3238-03-0372,5
共立女子大学,文芸,文芸,共,２月４,3238-03-0373,5
共立女子大学,ビジネス,ビジネス,共,統一,3238-21-0101,5
共立女子大学,ビジネス,ビジネス,共,前個Ａ,3238-21-0102,5
共立女子大学,ビジネス,ビジネス,共,前英Ａ,3238-21-0103,5
共立女子大学,ビジネス,ビジネス,共,前個Ｂ,3238-21-0104,5
共立女子大学,ビジネス,ビジネス,共,前英Ｂ,3238-21-0105,5
共立女子大学,ビジネス,ビジネス,共,２月３,3238-21-0172,5
共立女子大学,ビジネス,ビジネス,共,２月４,3238-21-0173,5
共立女子大学,国際,国際,共,前個Ａ,3238-34-0101,5
共立女子大学,国際,国際,共,統一,3238-34-0102,5
共立女子大学,国際,国際,共,前英Ａ,3238-34-0103,5
共立女子大学,国際,国際,共,前個Ｂ,3238-34-0104,5
共立女子大学,国際,国際,共,前英Ｂ,3238-34-0105,5
共立女子大学,国際,国際,共,２月３,3238-34-0172,5
共立女子大学,国際,国際,共,２月４,3238-34-0173,5
共立女子大学,国際,国際,共,前Ａ併,3238-34-0174,5
共立女子大学,国際,国際,共,前Ｂ併,3238-34-0175,5
共立女子大学,建築デザ,建築・デザイ,共,前個Ａ,3238-47-0102,5
共立女子大学,建築デザ,建築・デザイ,共,統一,3238-47-0103,5
共立女子大学,建築デザ,建築・デザイ,共,前英Ａ,3238-47-0104,5
共立女子大学,建築デザ,建築・デザイ,共,前個Ｂ,3238-47-0105,5
共立女子大学,建築デザ,建築・デザイ,共,前英Ｂ,3238-47-0106,5
共立女子大学,建築デザ,建築・デザイ,共,併用,3238-47-0172,5
共立女子大学,建築デザ,建築・デザイ,共,２月３,3238-47-0173,5
共立女子大学,建築デザ,建築・デザイ,共,２月４,3238-47-0174,5
共立女子大学,看護,看護,共,前個Ａ,3238-64-0101,5
共立女子大学,看護,看護,共,統一,3238-64-0102,5
共立女子大学,看護,看護,共,前英Ａ,3238-64-0103,5
共立女子大学,看護,看護,共,前個Ｂ,3238-64-0104,5
共立女子大学,看護,看護,共,前英Ｂ,3238-64-0105,5
共立女子大学,看護,看護,共,２月３,3238-64-0172,5
共立女子大学,看護,看護,共,２月４,3238-64-0173,5
共立女子大学,家政,食物／ 管理栄,共,前個Ａ,3238-79-0101,5
共立女子大学,家政,食物／ 管理栄,共,統一,3238-79-0102,5
共立女子大学,家政,食物／ 管理栄,共,前英Ａ,3238-79-0103,5
共立女子大学,家政,食物／ 管理栄,共,前個Ｂ,3238-79-0104,5
共立女子大学,家政,食物／ 管理栄,共,前英Ｂ,3238-79-0105,5
共立女子大学,家政,食物／ 管理栄,共,２月３,3238-79-0172,5
共立女子大学,家政,食物／ 管理栄,共,２月４,3238-79-0173,5
共立女子大学,家政,食物／ 食物学,共,前個Ａ,3238-79-0201,5
共立女子大学,家政,食物／ 食物学,共,統一,3238-79-0202,5
共立女子大学,家政,食物／ 食物学,共,前英Ａ,3238-79-0203,5
共立女子大学,家政,食物／ 食物学,共,前個Ｂ,3238-79-0204,5
共立女子大学,家政,食物／ 食物学,共,前英Ｂ,3238-79-0205,5
共立女子大学,家政,食物／ 食物学,共,２月３,3238-79-0272,5
共立女子大学,家政,食物／ 食物学,共,２月４,3238-79-0273,5
共立女子大学,家政,被服,共,前個Ａ,3238-79-0401,5
共立女子大学,家政,被服,共,統一,3238-79-0402,5
共立女子大学,家政,被服,共,前英Ａ,3238-79-0403,5
共立女子大学,家政,被服,共,前個Ｂ,3238-79-0404,5
共立女子大学,家政,被服,共,前英Ｂ,3238-79-0405,5
共立女子大学,家政,被服,共,２月３,3238-79-0472,5
共立女子大学,家政,被服,共,２月４,3238-79-0473,5
共立女子大学,児童,児童,共,統一,3238-80-0101,5
共立女子大学,児童,児童,共,前個Ａ,3238-80-0102,5
共立女子大学,児童,児童,共,前英Ａ,3238-80-0103,5
共立女子大学,児童,児童,共,前個Ｂ,3238-80-0104,5
共立女子大学,児童,児童,共,前英Ｂ,3238-80-0105,5
共立女子大学,児童,児童,共,２月３,3238-80-0171,5
共立女子大学,児童,児童,共,２月４,3238-80-0172,5
杏林大学,外国語,中国語,,前２外,3240-08-0201,5
杏林大学,外国語,中国語,,前３外,3240-08-0202,5
杏林大学,外国語,中国語,,前２独,3240-08-0205,5
杏林大学,外国語,中国語,,前３独,3240-08-0206,5
杏林大学,外国語,中国語,共,前期３,3240-08-0270,5
杏林大学,外国語,中国語,共,前期２,3240-08-0273,5
杏林大学,外国語,英語,共,前２外,3240-08-0501,5
杏林大学,外国語,英語,共,前３外,3240-08-0502,5
杏林大学,外国語,英語,共,前２独,3240-08-0506,5
杏林大学,外国語,英語,共,前３独,3240-08-0507,5
杏林大学,外国語,英語,共,前期３,3240-08-0570,5
杏林大学,外国語,英語,共,前期２,3240-08-0574,5
杏林大学,外国語,観光交流文化,共,前２外,3240-08-0801,5
杏林大学,外国語,観光交流文化,共,前３外,3240-08-0802,5
杏林大学,外国語,観光交流文化,共,前２独,3240-08-0805,5
杏林大学,外国語,観光交流文化,共,前３独,3240-08-0806,5
杏林大学,外国語,観光交流文化,共,前期３,3240-08-0870,5
杏林大学,外国語,観光交流文化,共,前期２,3240-08-0873,5
杏林大学,総合政策,法律政治,共,前期２,3240-13-0102,5
杏林大学,総合政策,法律政治,共,前期３,3240-13-0106,5
杏林大学,総合政策,法律政治,共,前期２,3240-13-0171,5
杏林大学,総合政策,法律政治,共,前期３,3240-13-0178,5
杏林大学,総合政策,経済経営,共,前期２,3240-13-0202,5
杏林大学,総合政策,経済経営,共,前期３,3240-13-0206,5
杏林大学,総合政策,経済経営,共,前期２,3240-13-0271,5
杏林大学,総合政策,経済経営,共,前期３,3240-13-0278,5
杏林大学,医,医,共,前期３,3240-55-0100,5
杏林大学,医,医,共,東京都,3240-55-0101,5
杏林大学,医,医,共,新潟県,3240-55-0103,5
杏林大学,医,医,共,群馬県,3240-55-0104,5
杏林大学,医,医,共,群馬県,3240-55-0173,5
杏林大学,保健,臨床検査技術,共,前期,3240-64-0302,5
杏林大学,保健,臨床検査技術,共,前期,3240-64-0372,5
杏林大学,保健,臨床工,共,前期,3240-64-0402,5
杏林大学,保健,臨床工,共,前期,3240-64-0472,5
杏林大学,保健,救急救命,共,前期,3240-64-0502,5
杏林大学,保健,救急救命,共,前期,3240-64-0572,5
杏林大学,保健,看護／ 看護学,共,前期,3240-64-0802,5
杏林大学,保健,看護／ 看護学,共,前期,3240-64-0872,5
杏林大学,保健,看護／ 看護養,共,前期,3240-64-0902,5
杏林大学,保健,看護／ 看護養,共,前期,3240-64-0972,5
杏林大学,保健,診療放射技術,共,前期,3240-64-1002,5
杏林大学,保健,診療放射技術,共,前期,3240-64-1072,5
杏林大学,保健,臨床心理,共,前期,3240-64-1102,5
杏林大学,保健,臨床心理,共,前期,3240-64-1172,5
杏林大学,保健,リハ／ 理学療,共,前期,3240-64-1202,5
杏林大学,保健,リハ／ 理学療,共,前期,3240-64-1271,5
杏林大学,保健,リハ／ 作業療,共,前期,3240-64-1302,5
杏林大学,保健,リハ／ 作業療,共,前期,3240-64-1371,5
杏林大学,保健,リハ／ 言語聴,共,前期,3240-64-1402,5
杏林大学,保健,リハ／ 言語聴,共,前期,3240-64-1471,5
杏林大学,保健,健康／ 健康福,共,前期,3240-64-1501,5
杏林大学,保健,健康／ 健康福,共,前期,3240-64-1571,5
杏林大学,保健,健康／ 健康ス,共,前期,3240-64-1601,5
杏林大学,保健,健康／ 健康ス,共,前期,3240-64-1671,5
近畿大学,文芸,芸術／ 舞台芸,,前期Ａ,3647-03-0102,4
近畿大学,文芸,芸術／ 舞台芸,,前期Ｂ,3647-03-0103,4
近畿大学,文芸,芸術／ 舞台芸,共,前期３,3647-03-0171,4
近畿大学,文芸,芸術／ 舞台芸,共,中期,3647-03-0173,4
近畿大学,文芸,芸術／ 舞台芸,共,併用Ａ,3647-03-0175,4
近畿大学,文芸,芸術／ 舞台芸,共,前期７,3647-03-0176,4
近畿大学,文芸,芸術／ 造形芸,共,前期Ａ,3647-03-0202,4
近畿大学,文芸,芸術／ 造形芸,共,前Ｂ実,3647-03-0204,4
近畿大学,文芸,芸術／ 造形芸,共,前Ｂス,3647-03-0205,4
近畿大学,文芸,芸術／ 造形芸,共,前期３,3647-03-0271,4
近畿大学,文芸,芸術／ 造形芸,共,併用Ａ,3647-03-0272,4
近畿大学,文芸,芸術／ 造形芸,共,中期,3647-03-0273,4
近畿大学,文芸,芸術／ 造形芸,共,前期７,3647-03-0274,4
近畿大学,文芸,文／ 日本文学,共,前期Ａ,3647-03-0402,4
近畿大学,文芸,文／ 日本文学,共,前期Ｂ,3647-03-0403,4
近畿大学,文芸,文／ 日本文学,共,前期３,3647-03-0471,4
近畿大学,文芸,文／ 日本文学,共,中期,3647-03-0473,4
近畿大学,文芸,文／ 日本文学,共,併用Ｂ,3647-03-0474,4
近畿大学,文芸,文／ 日本文学,共,併用Ａ,3647-03-0476,4
近畿大学,文芸,文／ 日本文学,共,前期７,3647-03-0477,4
近畿大学,文芸,文化・歴史,共,前期Ａ,3647-03-0502,4
近畿大学,文芸,文化・歴史,共,前期Ｂ,3647-03-0503,4
近畿大学,文芸,文化・歴史,共,前期３,3647-03-0571,4
近畿大学,文芸,文化・歴史,共,中期,3647-03-0573,4
近畿大学,文芸,文化・歴史,共,併用Ｂ,3647-03-0574,4
近畿大学,文芸,文化・歴史,共,併用Ａ,3647-03-0576,4
近畿大学,文芸,文化・歴史,共,前期７,3647-03-0577,4
近畿大学,文芸,文／ 英語英米,共,前期Ａ,3647-03-0701,4
近畿大学,文芸,文／ 英語英米,共,前期Ｂ,3647-03-0702,4
近畿大学,文芸,文／ 英語英米,共,前期３,3647-03-0771,4
近畿大学,文芸,文／ 英語英米,共,中期,3647-03-0773,4
近畿大学,文芸,文／ 英語英米,共,併用Ｂ,3647-03-0774,4
近畿大学,文芸,文／ 英語英米,共,併用Ａ,3647-03-0776,4
近畿大学,文芸,文／ 英語英米,共,前期７,3647-03-0777,4
